zone_id,cluster_id,cluster_label,confidence_score
Zone_DH004,0,Cluster_0,0.2492
Zone_DH005,1,Cluster_1,0.6736
Zone_DH006,0,Cluster_0,0.5039
Zone_DH007,1,Cluster_1,0.7731
Zone_DH008,1,Cluster_1,0.6591
Zone_DH009,1,Cluster_1,0.7097
Zone_DH010,1,Cluster_1,0.8402
Zone_DH011,1,Cluster_1,0.8143
Zone_DH012,1,Cluster_1,0.8189
Zone_DH013,1,Cluster_1,0.757
Zone_DH014,1,Cluster_1,0.7359
Zone_DH015,1,Cluster_1,0.6432
Zone_DH016,1,Cluster_1,0.6518
Zone_DH017,0,Cluster_0,0.4992
Zone_DH019,0,Cluster_0,0.5407
Zone_DH020,0,Cluster_0,0.6063
Zone_DH021,0,Cluster_0,0.7157
Zone_DH022,1,Cluster_1,0.8305
Zone_DH023,1,Cluster_1,0.7062
Zone_DH024,1,Cluster_1,0.7507
Zone_DH025,1,Cluster_1,0.8245
Zone_DH026,1,Cluster_1,0.6849
Zone_DH027,1,Cluster_1,0.7232
Zone_DH028,1,Cluster_1,0.902
Zone_DH029,1,Cluster_1,0.7479
Zone_DH030,1,Cluster_1,0.6954
Zone_DH031,1,Cluster_1,0.7907
Zone_DH032,1,Cluster_1,0.8639
Zone_DH033,1,Cluster_1,0.7675
Zone_DH034,1,Cluster_1,0.7016
Zone_DH035,1,Cluster_1,0.6541
Zone_DH037,1,Cluster_1,0.7609
Zone_DH038,1,Cluster_1,0.7375
Zone_DH039,1,Cluster_1,0.7798
Zone_DH040,1,Cluster_1,0.7697
Zone_DH041,1,Cluster_1,0.6526
Zone_DH042,1,Cluster_1,0.7988
Zone_DH043,1,Cluster_1,0.707
Zone_DH044,1,Cluster_1,0.6726
Zone_DH045,1,Cluster_1,0.76
Zone_DH046,1,Cluster_1,0.8049
Zone_DH047,1,Cluster_1,0.7183
Zone_DH048,1,Cluster_1,0.702
Zone_DH049,1,Cluster_1,0.814
Zone_DH050,1,Cluster_1,0.8467
Zone_DH051,1,Cluster_1,0.7559
Zone_DH052,1,Cluster_1,0.6735
Zone_DH053,1,Cluster_1,0.7804
Zone_DH055,1,Cluster_1,0.6884
