zone_id,cluster
Zone_DH004,1
Zone_DH005,1
Zone_DH006,1
Zone_DH007,1
Zone_DH008,0
Zone_DH009,0
Zone_DH010,0
Zone_DH011,0
Zone_DH012,0
Zone_DH013,0
Zone_DH014,0
Zone_DH015,0
Zone_DH016,0
Zone_DH017,1
Zone_DH019,1
Zone_DH020,1
Zone_DH021,1
Zone_DH022,1
Zone_DH023,1
Zone_DH024,1
Zone_DH025,1
Zone_DH026,0
Zone_DH027,0
Zone_DH028,0
Zone_DH029,0
Zone_DH030,0
Zone_DH031,0
Zone_DH032,0
Zone_DH033,0
Zone_DH034,0
Zone_DH035,0
Zone_DH037,1
Zone_DH038,1
Zone_DH039,1
Zone_DH040,1
Zone_DH041,1
Zone_DH042,1
Zone_DH043,0
Zone_DH044,0
Zone_DH045,0
Zone_DH046,1
Zone_DH047,0
Zone_DH048,0
Zone_DH049,0
Zone_DH050,0
Zone_DH051,0
Zone_DH052,0
Zone_DH053,0
Zone_DH055,1
Zone_DH056,1
Zone_DH057,1
Zone_DH058,0
Zone_DH059,0
Zone_DH060,1
Zone_DH061,0
Zone_DH062,0
Zone_DH063,1
Zone_DH064,1
Zone_DH065,0
Zone_DH066,0
Zone_DH067,0
Zone_DH068,0
Zone_DH069,0
Zone_DH070,0
Zone_DH071,0
Zone_DH072,1
Zone_DH073,1
Zone_DH074,1
Zone_DH075,0
Zone_DH076,0
Zone_DH077,0
Zone_DH078,0
Zone_DH079,0
Zone_DH080,0
Zone_DH081,0
Zone_DH082,0
Zone_DH083,1
Zone_DH084,0
Zone_DH085,0
Zone_DH086,0
Zone_DH087,1
Zone_DH088,1
Zone_DH089,1
Zone_DH090,1
Zone_DH091,1
Zone_DH092,1
Zone_DH093,0
Zone_DH094,0
Zone_DH095,0
Zone_DH096,0
Zone_DH097,0
Zone_DH098,0
Zone_DH099,0
Zone_DH100,0
Zone_DH101,0
Zone_DH102,0
Zone_DH103,0
Zone_DH104,0
Zone_DH105,0
Zone_DH106,1
Zone_DH107,1
Zone_DH108,1
Zone_DH109,1
Zone_DH110,0
Zone_DH111,0
Zone_DH112,0
Zone_DH113,0
Zone_DH114,0
Zone_DH115,0
Zone_DH116,0
Zone_DH117,0
Zone_DH118,0
Zone_DH119,0
Zone_DH120,0
Zone_DH121,0
Zone_DH122,0
Zone_DH123,0
Zone_DH124,0
Zone_DH125,0
Zone_DH126,0
Zone_DH127,0
Zone_DH128,0
Zone_DH129,0
Zone_DH130,0
Zone_DH131,0
Zone_DH132,0
Zone_DH133,0
Zone_DH134,0
Zone_DH135,0
Zone_DH136,0
Zone_DH137,0
Zone_DH138,0
Zone_DH139,0
Zone_DH140,0
Zone_DH141,0
Zone_DH142,0
Zone_DH143,0
Zone_DH144,0
Zone_DH145,0
Zone_DH146,0
Zone_DH147,0
Zone_DH148,0
Zone_DH149,0
Zone_DH150,0
Zone_DH151,0
Zone_DH152,0
Zone_DH153,0
Zone_DH154,0
Zone_DH155,0
Zone_DH156,0
Zone_DH157,0
Zone_DH158,0
Zone_DH159,0
Zone_DH160,0
Zone_DH161,0
Zone_DH162,0
Zone_DH163,0
Zone_DH164,0
Zone_DH165,0
Zone_DH166,0
Zone_DH167,0
Zone_DH168,0
Zone_DH169,0
Zone_DH170,0
Zone_DH171,0
Zone_DH172,0
Zone_DH173,0
Zone_DH174,0
Zone_DH175,0
Zone_DH176,0
Zone_DH177,1
Zone_DH178,0
Zone_DH179,1
Zone_DH180,0
Zone_DH181,0
Zone_DH182,0
Zone_DH183,0
Zone_DH184,0
Zone_DH185,0
Zone_DH186,0
Zone_DH187,0
Zone_DH188,0
Zone_DH189,0
Zone_DH190,0
Zone_DH191,0
Zone_DH192,0
Zone_DH193,0
Zone_DH194,0
Zone_DH195,1
Zone_DH196,1
Zone_DH197,1
Zone_DH198,0
Zone_DH199,0
Zone_DH200,0
Zone_DH201,0
Zone_DH202,0
Zone_DH203,0
Zone_DH204,0
Zone_DH205,0
Zone_DH206,0
Zone_DH207,0
Zone_DH208,0
Zone_DH209,0
Zone_DH210,0
Zone_DH211,1
Zone_DH212,1
Zone_DH213,1
Zone_DH214,1
Zone_DH216,0
Zone_DH217,0
Zone_DH218,0
Zone_DH219,0
Zone_DH220,0
Zone_DH221,0
Zone_DH222,0
Zone_DH224,0
Zone_DH225,0
Zone_DH226,0
Zone_DH227,0
Zone_DH228,0
Zone_DH229,1
Zone_DH230,1
Zone_DH231,1
Zone_DH232,1
