zone_id,centre_lat,centre_lon,n_nodes,n_edges,avg_degree,max_bc,mean_bc,p95_bc,p99_bc,tier1_count,tier2_count,art_point_count,master_node_id,master_lon,master_lat,master_degree,compute_time_s
Zone_DH378,23.90035,90.34637,11,10,1.818,0.711111,0.240404,0.611111,0.691111,1,0,7,5659977682,90.339468,23.896189,3,0.01
Zone_DH860,23.83475,90.47515,93,108,2.323,0.705447,0.104082,0.426135,0.485227,1,4,41,9810348266,90.475688,23.835922,4,0.05
Zone_DH112,23.70794,90.28353,25,26,2.08,0.695652,0.175507,0.452899,0.637391,1,2,14,5063631501,90.284997,23.705469,3,0.01
Zone_DH793,23.85807,90.46528,39,42,2.154,0.692745,0.135427,0.468279,0.618151,1,1,20,10027933284,90.456351,23.862741,4,0.02
Zone_DH762,23.88828,90.44934,33,33,2.0,0.679435,0.156891,0.479435,0.623952,1,1,18,4584044744,90.445841,23.884788,3,0.02
Zone_DH722,23.84997,90.44307,64,66,2.062,0.673835,0.138657,0.451382,0.55319,1,3,36,1795949177,90.437229,23.849023,3,0.03
Zone_DH801,23.92897,90.46245,70,80,2.286,0.670929,0.110833,0.458142,0.5374,1,3,27,262298349,90.452876,23.930105,4,0.03
Zone_DH344,23.90491,90.32781,52,61,2.346,0.669804,0.128763,0.441412,0.576204,1,2,23,11175810444,90.32815,23.89957,3,0.03
Zone_DH758,23.85983,90.45173,58,63,2.172,0.669173,0.124924,0.457707,0.558816,1,2,31,10027933284,90.456351,23.862741,4,0.02
Zone_DH389,23.68547,90.36346,33,34,2.061,0.667339,0.157625,0.493952,0.615726,1,1,19,3514169474,90.365643,23.686504,3,0.02
Zone_DH851,23.74489,90.47859,10,9,1.8,0.666667,0.269444,0.591667,0.651667,1,0,6,4876062275,90.477022,23.742463,3,0.01
Zone_DH300,23.83299,90.3212,27,30,2.222,0.661538,0.169117,0.494462,0.618338,1,1,13,2428929752,90.320159,23.833717,3,0.01
Zone_DH835,23.92046,90.46888,19,19,2.0,0.660131,0.180599,0.518954,0.631895,1,0,9,13545891986,90.468259,23.919133,3,0.01
Zone_DH194,23.81807,90.29653,58,66,2.276,0.659148,0.133221,0.441447,0.574505,1,2,27,3521871388,90.291165,23.818849,3,0.02
Zone_DH072,23.6608,90.27906,14,13,1.857,0.653846,0.188645,0.620513,0.647179,1,0,6,2447912561,90.280113,23.662369,3,0.01
Zone_DH417,23.93695,90.35826,39,39,2.0,0.652916,0.154101,0.51266,0.60643,1,1,24,4982112263,90.364877,23.934241,3,0.02
