zone_id,cluster_id,cluster_label,confidence_score
Zone_DH009,0,Cluster_0,0.5192
Zone_DH010,0,Cluster_0,0.6819
Zone_DH011,0,Cluster_0,0.7059
Zone_DH012,0,Cluster_0,0.4379
Zone_DH013,0,Cluster_0,0.7114
Zone_DH014,0,Cluster_0,0.8464
Zone_DH015,0,Cluster_0,0.7615
Zone_DH016,1,Cluster_1,0.7886
Zone_DH017,1,Cluster_1,0.7816
Zone_DH018,1,Cluster_1,0.7491
Zone_DH019,1,Cluster_1,0.7556
Zone_DH020,1,Cluster_1,0.879
Zone_DH021,1,Cluster_1,0.8518
Zone_DH022,1,Cluster_1,0.8341
Zone_DH023,1,Cluster_1,0.8886
Zone_DH024,1,Cluster_1,0.8387
Zone_DH025,1,Cluster_1,0.875
Zone_DH026,1,Cluster_1,0.8046
Zone_DH027,0,Cluster_0,0.8131
Zone_DH028,1,Cluster_1,0.8415
Zone_DH029,1,Cluster_1,0.7716
Zone_DH030,1,Cluster_1,0.7617
Zone_DH031,1,Cluster_1,0.7252
Zone_DH032,1,Cluster_1,0.7743
Zone_DH033,0,Cluster_0,0.7334
Zone_DH044,0,Cluster_0,0.8908
Zone_DH045,0,Cluster_0,0.8031
Zone_DH046,0,Cluster_0,0.8375
Zone_DH047,0,Cluster_0,0.7854
Zone_DH048,0,Cluster_0,0.7986
Zone_DH049,0,Cluster_0,0.7354
Zone_DH050,1,Cluster_1,0.7921
Zone_DH051,1,Cluster_1,0.7964
Zone_DH052,1,Cluster_1,0.8216
Zone_DH053,1,Cluster_1,0.7367
Zone_DH054,1,Cluster_1,0.8565
Zone_DH055,1,Cluster_1,0.9015
Zone_DH056,1,Cluster_1,0.9023
Zone_DH057,1,Cluster_1,0.8621
Zone_DH058,1,Cluster_1,0.8801
Zone_DH059,1,Cluster_1,0.8372
Zone_DH060,1,Cluster_1,0.9061
Zone_DH061,1,Cluster_1,0.8391
Zone_DH062,1,Cluster_1,0.8427
Zone_DH063,1,Cluster_1,0.9082
Zone_DH064,1,Cluster_1,0.8958
Zone_DH065,1,Cluster_1,0.8331
Zone_DH066,1,Cluster_1,0.8151
Zone_DH067,1,Cluster_1,0.8479
Zone_DH068,1,Cluster_1,0.8522
Zone_DH069,0,Cluster_0,0.7098
Zone_DH072,0,Cluster_0,0.5785
Zone_DH073,0,Cluster_0,0.2964
Zone_DH074,0,Cluster_0,0.5948
Zone_DH075,0,Cluster_0,0.6367
Zone_DH076,0,Cluster_0,0.5811
Zone_DH077,0,Cluster_0,0.0
Zone_DH078,0,Cluster_0,0.2588
Zone_DH079,1,Cluster_1,0.7663
Zone_DH080,1,Cluster_1,0.8005
Zone_DH081,0,Cluster_0,0.7364
Zone_DH082,0,Cluster_0,0.5339
Zone_DH083,0,Cluster_0,0.8361
Zone_DH084,0,Cluster_0,0.711
Zone_DH085,1,Cluster_1,0.7993
Zone_DH086,1,Cluster_1,0.8117
Zone_DH087,1,Cluster_1,0.7038
Zone_DH088,0,Cluster_0,0.5979
Zone_DH089,1,Cluster_1,0.8664
Zone_DH090,1,Cluster_1,0.9426
Zone_DH091,1,Cluster_1,0.88
Zone_DH092,1,Cluster_1,0.8442
Zone_DH093,1,Cluster_1,0.8459
Zone_DH094,1,Cluster_1,0.7379
Zone_DH095,1,Cluster_1,0.8192
Zone_DH096,1,Cluster_1,0.8954
Zone_DH097,1,Cluster_1,0.9127
Zone_DH098,1,Cluster_1,0.9144
Zone_DH099,1,Cluster_1,0.9208
Zone_DH100,1,Cluster_1,0.8286
Zone_DH101,1,Cluster_1,0.7639
Zone_DH102,1,Cluster_1,0.7512
Zone_DH103,1,Cluster_1,0.6715
Zone_DH104,0,Cluster_0,0.6461
Zone_DH106,0,Cluster_0,0.5408
Zone_DH107,0,Cluster_0,0.8114
Zone_DH108,0,Cluster_0,0.7666
Zone_DH109,0,Cluster_0,0.8439
Zone_DH110,0,Cluster_0,0.7329
Zone_DH111,0,Cluster_0,0.75
Zone_DH112,0,Cluster_0,0.8119
Zone_DH113,0,Cluster_0,0.727
Zone_DH114,1,Cluster_1,0.7787
Zone_DH115,1,Cluster_1,0.8056
Zone_DH116,0,Cluster_0,0.8051
Zone_DH117,0,Cluster_0,0.8307
Zone_DH118,0,Cluster_0,0.7546
Zone_DH119,0,Cluster_0,0.8948
Zone_DH120,0,Cluster_0,0.7098
Zone_DH121,1,Cluster_1,0.738
Zone_DH122,1,Cluster_1,0.8159
Zone_DH123,1,Cluster_1,0.6674
Zone_DH124,1,Cluster_1,0.734
Zone_DH125,1,Cluster_1,0.7859
Zone_DH126,1,Cluster_1,0.8805
Zone_DH127,1,Cluster_1,0.8379
Zone_DH128,1,Cluster_1,0.8273
Zone_DH129,1,Cluster_1,0.7908
Zone_DH130,1,Cluster_1,0.8211
Zone_DH131,1,Cluster_1,0.8875
Zone_DH132,1,Cluster_1,0.8795
Zone_DH133,1,Cluster_1,0.7971
Zone_DH134,1,Cluster_1,0.8949
Zone_DH135,1,Cluster_1,0.8769
Zone_DH136,1,Cluster_1,0.8331
Zone_DH137,1,Cluster_1,0.8569
Zone_DH138,1,Cluster_1,0.8246
Zone_DH139,1,Cluster_1,0.7533
Zone_DH142,0,Cluster_0,0.8121
Zone_DH143,0,Cluster_0,0.7891
Zone_DH144,1,Cluster_1,0.7918
Zone_DH145,1,Cluster_1,0.7983
Zone_DH146,1,Cluster_1,0.804
Zone_DH147,0,Cluster_0,0.7947
Zone_DH148,0,Cluster_0,0.7498
Zone_DH149,0,Cluster_0,0.7119
Zone_DH150,1,Cluster_1,0.7933
Zone_DH151,0,Cluster_0,0.783
Zone_DH152,1,Cluster_1,0.7574
Zone_DH153,1,Cluster_1,0.7767
Zone_DH154,0,Cluster_0,0.7676
Zone_DH155,0,Cluster_0,0.602
Zone_DH156,1,Cluster_1,0.8299
Zone_DH157,1,Cluster_1,0.8924
Zone_DH158,1,Cluster_1,0.8459
Zone_DH159,0,Cluster_0,0.7467
Zone_DH160,0,Cluster_0,0.6606
Zone_DH161,1,Cluster_1,0.8679
Zone_DH162,1,Cluster_1,0.7643
Zone_DH163,1,Cluster_1,0.7675
Zone_DH164,1,Cluster_1,0.7506
Zone_DH165,1,Cluster_1,0.814
Zone_DH166,1,Cluster_1,0.8446
Zone_DH167,1,Cluster_1,0.7928
Zone_DH168,1,Cluster_1,0.8672
Zone_DH169,1,Cluster_1,0.8939
Zone_DH170,1,Cluster_1,0.8207
Zone_DH171,1,Cluster_1,0.7972
Zone_DH172,1,Cluster_1,0.8004
Zone_DH173,1,Cluster_1,0.8062
Zone_DH174,1,Cluster_1,0.739
Zone_DH176,0,Cluster_0,0.5759
Zone_DH177,0,Cluster_0,0.8467
Zone_DH178,0,Cluster_0,0.732
Zone_DH179,1,Cluster_1,0.8461
Zone_DH180,1,Cluster_1,0.7894
Zone_DH181,1,Cluster_1,0.7906
Zone_DH182,0,Cluster_0,0.7607
Zone_DH183,0,Cluster_0,0.6854
Zone_DH184,0,Cluster_0,0.7713
Zone_DH185,0,Cluster_0,0.7348
Zone_DH186,0,Cluster_0,0.7165
Zone_DH187,1,Cluster_1,0.7163
Zone_DH188,1,Cluster_1,0.8101
Zone_DH189,1,Cluster_1,0.7969
Zone_DH190,1,Cluster_1,0.8351
Zone_DH191,1,Cluster_1,0.7302
Zone_DH192,1,Cluster_1,0.849
Zone_DH193,1,Cluster_1,0.8217
