feature,mean_cv
density,0.8683
transitivity,1.3463
avg_clustering_coef,1.322
avg_degree,0.1573
n_scc,1.2212
n_wcc,1.1481
gscc_pct,0.7018
gwcc_pct,0.6478
wcc_fragmentation,0.2426
orientation_entropy,0.1248
path_length_p90_norm,0.3852
mean_in_degree_centrality,0.7252
mean_out_degree_centrality,0.7252
hub_dominance_ratio,0.1601
mean_closeness_centrality,0.5395
mean_betweenness_centrality,0.3901
betweenness_gini,0.1388
mean_katz_centrality,0.3663
mean_pagerank,0.7143
mean_local_clustering,2.3332
mean_strength_norm,0.6454
global_efficiency,0.3843
local_efficiency,2.3343
