zone_id,node_count,edge_count,density,transitivity,avg_clustering_coef,avg_degree,n_scc,n_wcc,gscc_pct,gwcc_pct,wcc_fragmentation,orientation_entropy,path_length_p90,path_length_p90_norm,mean_in_degree_centrality,mean_out_degree_centrality,hub_dominance_ratio,mean_closeness_centrality,mean_betweenness_centrality,betweenness_gini,mean_katz_centrality,mean_pagerank,mean_local_clustering,mean_strength_norm,global_efficiency,local_efficiency
Zone_DH009,16,32,0.133333,0.125,0.1042,4.0,2,2,93.75,93.75,0.125,2.7335,6.0,1.5,0.152381,0.152381,1.4062,0.310759,0.182418,0.5556,0.257078,0.066667,0.1111,0.1422,0.408912,0.111111
Zone_DH010,27,54,0.076923,0.1429,0.0988,4.0,3,3,92.59,92.59,0.1111,3.1434,9.0,1.7321,0.09,0.09,1.3889,0.211008,0.171304,0.6017,0.199077,0.04,0.1067,0.0864,0.305446,0.106667
Zone_DH011,20,34,0.089474,0.12,0.05,3.4,4,4,85.0,85.0,0.2,3.4992,7.0,1.5652,0.125,0.125,2.0,0.268392,0.192157,0.6068,0.241358,0.058824,0.0588,0.1176,0.369164,0.058824
Zone_DH012,21,40,0.095238,0.0,0.0,3.8095,3,3,52.38,52.38,0.1429,3.3464,4.0,0.8729,0.218182,0.218182,1.375,0.400204,0.177778,0.4752,0.300426,0.090909,0.0,0.1983,0.503333,0.0
Zone_DH013,30,68,0.078161,0.1053,0.0889,4.5333,2,2,96.67,96.67,0.0667,3.3252,8.0,1.4606,0.083744,0.083744,1.7059,0.221103,0.135286,0.4569,0.184929,0.034483,0.092,0.0809,0.306977,0.091954
Zone_DH014,35,74,0.062185,0.1053,0.0571,4.2286,3,3,85.71,85.71,0.0857,3.5239,8.0,1.3522,0.078161,0.078161,1.3235,0.204732,0.146141,0.5598,0.181767,0.033333,0.0667,0.0756,0.288126,0.066667
Zone_DH015,57,117,0.036654,0.0891,0.0561,4.1053,4,3,92.98,96.49,0.0526,3.5792,11.0,1.457,0.039394,0.039394,1.8803,0.14945,0.104819,0.6024,0.134229,0.018182,0.0582,0.0387,0.219694,0.062121
Zone_DH016,79,155,0.025154,0.0392,0.0131,3.9241,6,4,84.81,96.2,0.0506,3.5152,13.0,1.4626,0.027193,0.027193,1.9613,0.121681,0.08086,0.617,0.114216,0.013158,0.0136,0.0268,0.199015,0.015351
Zone_DH017,106,220,0.019766,0.0721,0.0569,4.1509,7,4,93.4,95.28,0.0377,3.6307,19.0,1.8454,0.021584,0.021584,1.8532,0.091839,0.096468,0.6081,0.099102,0.009901,0.0597,0.0214,0.158878,0.061056
Zone_DH018,113,240,0.018963,0.0849,0.0708,4.2478,13,4,63.72,85.84,0.0354,3.759,17.0,1.5992,0.023196,0.023196,1.7963,0.086474,0.069676,0.5982,0.101122,0.010309,0.0653,0.023,0.160027,0.065292
Zone_DH019,159,358,0.01425,0.071,0.0608,4.5031,13,1,56.6,100.0,0.0063,3.5116,20.0,1.5861,0.01425,0.01425,1.7765,0.062404,0.040935,0.6815,0.078915,0.006289,0.0608,0.0142,0.131077,0.060797
Zone_DH020,217,498,0.010625,0.0371,0.0261,4.5899,10,2,91.71,99.54,0.0092,3.1697,21.0,1.4256,0.010724,0.010724,1.7349,0.075438,0.050471,0.6545,0.067695,0.00463,0.0262,0.0107,0.122029,0.026235
Zone_DH021,222,518,0.010558,0.0519,0.0405,4.6667,9,3,95.95,99.1,0.0135,3.1611,22.0,1.4765,0.010751,0.010751,1.6988,0.074345,0.053204,0.5728,0.067138,0.004545,0.0409,0.0107,0.128923,0.040909
Zone_DH022,253,617,0.009678,0.0403,0.0336,4.8775,12,2,91.3,99.6,0.0079,3.3217,32.0,2.0118,0.009755,0.009755,1.6337,0.054766,0.063541,0.6129,0.062756,0.003968,0.0337,0.0097,0.105817,0.03373
Zone_DH023,239,588,0.010337,0.0484,0.0411,4.9205,14,3,81.59,94.56,0.0126,3.4345,22.0,1.4231,0.011131,0.011131,1.5972,0.071669,0.046265,0.6173,0.066215,0.004425,0.0435,0.0111,0.116511,0.04351
Zone_DH024,273,708,0.009535,0.0405,0.036,5.1868,2,2,99.63,99.63,0.0073,3.5529,27.0,1.6341,0.009605,0.009605,1.5367,0.067127,0.051778,0.6827,0.060382,0.003676,0.0362,0.0096,0.105586,0.037377
Zone_DH025,193,476,0.012845,0.0483,0.0415,4.9326,7,7,91.19,91.19,0.0363,3.5777,22.0,1.5836,0.014675,0.014675,1.5575,0.087229,0.065049,0.5885,0.075047,0.005682,0.0455,0.0146,0.131148,0.047348
Zone_DH026,133,320,0.018227,0.0526,0.0501,4.812,3,3,98.5,98.5,0.0226,3.7512,22.0,1.9076,0.01879,0.01879,1.6375,0.082191,0.091498,0.7075,0.086966,0.007634,0.0509,0.0186,0.13462,0.050891
Zone_DH027,67,138,0.031208,0.0545,0.0597,4.1194,7,7,74.63,74.63,0.1045,3.7767,12.0,1.466,0.047347,0.047347,1.7241,0.149608,0.124082,0.637,0.140777,0.02,0.08,0.0464,0.222573,0.08
Zone_DH028,122,296,0.020051,0.0328,0.026,4.8525,6,6,85.25,85.25,0.0492,3.6663,14.0,1.2675,0.024272,0.024272,1.6,0.122449,0.073361,0.5928,0.097506,0.009615,0.0144,0.024,0.174801,0.014423
Zone_DH029,157,373,0.015229,0.0574,0.035,4.7516,15,3,70.06,70.06,0.0191,3.876,14.0,1.1173,0.02352,0.02352,1.5603,0.123028,0.068136,0.5892,0.094813,0.009091,0.0288,0.0233,0.173377,0.028788
Zone_DH030,172,410,0.01394,0.0773,0.0572,4.7674,15,3,66.86,79.07,0.0174,3.8659,19.0,1.4487,0.018301,0.018301,1.619,0.084867,0.057474,0.6046,0.085287,0.007353,0.0723,0.0182,0.145832,0.074142
Zone_DH031,180,488,0.015146,0.0949,0.0806,5.4222,4,2,90.0,96.67,0.0111,3.801,22.0,1.6398,0.015913,0.015913,1.453,0.081685,0.061154,0.5923,0.075551,0.005747,0.0833,0.0158,0.131569,0.085728
Zone_DH032,118,322,0.023323,0.0571,0.0466,5.4576,2,2,94.92,94.92,0.0169,3.8354,14.0,1.2888,0.024936,0.024936,1.4452,0.123923,0.065339,0.5611,0.094125,0.008929,0.0491,0.0247,0.174622,0.050595
Zone_DH033,31,72,0.077419,0.05,0.0215,4.6452,1,1,100.0,100.0,0.0323,3.5957,7.0,1.2572,0.077419,0.077419,1.7222,0.238485,0.115462,0.5576,0.178743,0.032258,0.0215,0.0749,0.314524,0.021505
Zone_DH044,42,84,0.04878,0.0469,0.0238,4.0,4,4,80.95,80.95,0.0952,3.601,9.0,1.3887,0.065954,0.065954,1.8378,0.200569,0.131684,0.5855,0.17058,0.029412,0.0294,0.064,0.278984,0.029412
Zone_DH045,52,104,0.039216,0.0723,0.0385,4.0,5,5,90.38,90.38,0.0962,3.6724,13.0,1.8028,0.047179,0.047179,1.8431,0.144202,0.139233,0.6197,0.145087,0.021277,0.0426,0.0462,0.222466,0.042553
Zone_DH046,39,74,0.049933,0.05,0.0256,3.7949,8,8,76.92,76.92,0.2051,3.8234,8.0,1.281,0.08046,0.08046,1.7143,0.220371,0.129475,0.4919,0.181825,0.033333,0.0333,0.0778,0.306357,0.033333
Zone_DH047,44,94,0.049683,0.0411,0.0379,4.2727,3,3,54.55,54.55,0.0682,3.8257,8.9,1.3417,0.097826,0.097826,1.7778,0.212505,0.178689,0.5308,0.203378,0.041667,0.0694,0.0937,0.312962,0.069444
Zone_DH048,43,98,0.054264,0.0366,0.0233,4.5581,2,2,90.7,90.7,0.0465,3.579,9.0,1.3725,0.062078,0.062078,1.6957,0.188606,0.121567,0.4923,0.159369,0.025641,0.0256,0.0605,0.268419,0.025641
Zone_DH049,70,162,0.03354,0.0851,0.0667,4.6286,5,5,94.29,94.29,0.0714,3.9565,11.0,1.3148,0.037762,0.037762,1.6296,0.149886,0.091946,0.5425,0.122599,0.015152,0.0707,0.0372,0.210384,0.070707
Zone_DH050,98,219,0.023038,0.0721,0.0446,4.4694,5,1,92.86,100.0,0.0102,3.9175,13.0,1.3132,0.023038,0.023038,1.79,0.118471,0.069172,0.5762,0.100532,0.010204,0.0446,0.0228,0.177762,0.046769
Zone_DH051,162,328,0.012576,0.0263,0.0126,4.0494,5,1,93.21,100.0,0.0062,3.8933,22.0,1.7285,0.012576,0.012576,1.9756,0.078288,0.072839,0.6681,0.078221,0.006173,0.0126,0.0125,0.142601,0.013374
Zone_DH052,185,373,0.010958,0.0391,0.0326,4.0324,8,2,91.35,98.92,0.0108,3.8459,25.0,1.838,0.011139,0.011139,1.973,0.067297,0.070759,0.6692,0.073622,0.005464,0.033,0.0111,0.128431,0.033698
Zone_DH053,165,354,0.013082,0.0559,0.0434,4.2909,14,4,46.67,97.58,0.0242,3.8688,23.0,1.7905,0.013665,0.013665,1.8295,0.05703,0.048717,0.6839,0.078478,0.006211,0.0445,0.0136,0.122402,0.044513
Zone_DH054,288,684,0.008275,0.0497,0.0394,4.75,13,4,67.71,98.96,0.0139,3.6863,27.0,1.591,0.008451,0.008451,1.6667,0.051981,0.040569,0.678,0.05893,0.003509,0.0398,0.0084,0.105002,0.039766
Zone_DH055,403,999,0.006166,0.0363,0.0277,4.9578,7,3,92.56,97.52,0.0074,3.4968,25.0,1.2453,0.006368,0.006368,1.6024,0.060067,0.036892,0.6726,0.050202,0.002545,0.0284,0.0064,0.094859,0.028414
Zone_DH056,404,998,0.00613,0.0388,0.0312,4.9406,12,9,96.04,97.03,0.0223,3.4005,25.0,1.2438,0.006459,0.006459,1.9798,0.061256,0.039906,0.6378,0.050293,0.002551,0.0321,0.0064,0.099861,0.032143
Zone_DH057,496,1270,0.005173,0.0501,0.0422,5.121,9,9,98.39,98.39,0.0181,3.4071,39.0,1.7512,0.005344,0.005344,1.9213,0.045964,0.044335,0.7,0.045105,0.002049,0.0429,0.0053,0.081637,0.043579
Zone_DH058,501,1264,0.005046,0.0558,0.0461,5.0459,13,6,95.41,97.01,0.012,3.5231,34.0,1.519,0.005278,0.005278,1.9534,0.04921,0.040246,0.722,0.045167,0.002058,0.0475,0.0053,0.084127,0.048217
Zone_DH059,455,1179,0.005708,0.0626,0.0504,5.1824,9,3,74.95,99.56,0.0066,3.6553,30.0,1.4064,0.005758,0.005758,1.9211,0.048567,0.023996,0.6937,0.046783,0.002208,0.0506,0.0057,0.083541,0.052649
Zone_DH060,370,914,0.006694,0.0558,0.0423,4.9405,12,5,92.97,93.51,0.0135,3.6452,31.0,1.6116,0.007313,0.007313,1.5853,0.059107,0.046806,0.7103,0.053497,0.00289,0.0409,0.0073,0.093239,0.04263
Zone_DH061,335,826,0.007382,0.0501,0.0453,4.9313,3,1,99.4,100.0,0.003,3.6084,25.0,1.3659,0.007382,0.007382,1.6223,0.068985,0.040136,0.7178,0.054375,0.002985,0.0453,0.0074,0.099691,0.045274
Zone_DH062,249,571,0.009247,0.0609,0.0562,4.5863,4,3,98.8,99.2,0.012,3.7507,23.0,1.4576,0.009397,0.009397,1.7303,0.076187,0.050439,0.6584,0.063334,0.004049,0.0567,0.0094,0.109131,0.05668
Zone_DH063,245,579,0.009686,0.034,0.0238,4.7265,12,5,91.43,95.92,0.0204,3.911,26.0,1.6611,0.010311,0.010311,1.6578,0.069168,0.05334,0.6725,0.064866,0.004255,0.0248,0.0103,0.107973,0.024823
Zone_DH064,326,787,0.007428,0.0494,0.0368,4.8282,11,7,94.48,97.85,0.0215,3.9989,30.0,1.6615,0.007738,0.007738,1.6255,0.055439,0.05109,0.6785,0.055675,0.003135,0.0376,0.0077,0.101271,0.038401
Zone_DH065,399,1029,0.00648,0.0616,0.0489,5.1579,11,2,77.94,99.5,0.005,3.9218,32.0,1.602,0.006533,0.006533,1.5463,0.04684,0.031378,0.6978,0.04993,0.002519,0.0491,0.0065,0.091522,0.049748
Zone_DH066,469,1311,0.005973,0.0624,0.0539,5.5906,12,3,73.56,98.29,0.0064,3.8446,29.0,1.3391,0.006135,0.006135,1.7717,0.051411,0.028687,0.6364,0.046394,0.002169,0.0548,0.0061,0.088701,0.055712
