zone_id,col_idx,row_idx,centroid_lon,centroid_lat,centroid_x_utm,centroid_y_utm,core_area_km2,n_nodes_buffered,n_edges_buffered,osm_completeness,cluster_id,cluster_label,confidence_score
Zone_DH009,0,9,90.250745,23.727536,219711.48,2626768.83,1.0,16,32,0.4,0,Cluster_0,0.5192
Zone_DH010,0,10,90.250555,23.736558,219711.48,2627768.83,1.0,27,54,0.675,0,Cluster_0,0.6819
Zone_DH011,0,11,90.250366,23.74558,219711.48,2628768.83,1.0,20,34,0.5,0,Cluster_0,0.7059
Zone_DH012,0,12,90.250176,23.754602,219711.48,2629768.83,1.0,21,40,0.525,0,Cluster_0,0.4379
Zone_DH013,0,13,90.249986,23.763625,219711.48,2630768.83,1.0,30,68,0.75,0,Cluster_0,0.7114
Zone_DH014,0,14,90.249797,23.772647,219711.48,2631768.83,1.0,35,74,0.875,0,Cluster_0,0.8464
Zone_DH015,0,15,90.249607,23.781669,219711.48,2632768.83,1.0,57,117,1.425,0,Cluster_0,0.7615
Zone_DH016,0,16,90.249417,23.790691,219711.48,2633768.83,1.0,79,155,1.975,1,Cluster_1,0.7886
Zone_DH017,0,17,90.249227,23.799713,219711.48,2634768.83,1.0,106,220,2.65,1,Cluster_1,0.7816
Zone_DH018,0,18,90.249037,23.808735,219711.48,2635768.83,1.0,113,240,2.825,1,Cluster_1,0.7491
Zone_DH019,0,19,90.248846,23.817757,219711.48,2636768.83,1.0,159,364,3.975,1,Cluster_1,0.7556
Zone_DH020,0,20,90.248656,23.826779,219711.48,2637768.83,1.0,217,504,5.425,1,Cluster_1,0.879
Zone_DH021,0,21,90.248466,23.835801,219711.48,2638768.83,1.0,222,520,5.55,1,Cluster_1,0.8518
Zone_DH022,0,22,90.248275,23.844823,219711.48,2639768.83,1.0,253,617,6.325,1,Cluster_1,0.8341
Zone_DH023,0,23,90.248084,23.853845,219711.48,2640768.83,1.0,239,590,5.975,1,Cluster_1,0.8886
Zone_DH024,0,24,90.247894,23.862867,219711.48,2641768.83,1.0,273,714,6.825,1,Cluster_1,0.8387
Zone_DH025,0,25,90.247703,23.871889,219711.48,2642768.83,1.0,193,482,4.825,1,Cluster_1,0.875
Zone_DH026,0,26,90.247512,23.880911,219711.48,2643768.83,1.0,133,324,3.325,1,Cluster_1,0.8046
Zone_DH027,0,27,90.247321,23.889933,219711.48,2644768.83,1.0,67,140,1.675,0,Cluster_0,0.8131
Zone_DH028,0,28,90.24713,23.898955,219711.48,2645768.83,1.0,122,296,3.05,1,Cluster_1,0.8415
