zone_id,uffm_cluster_id,uffm_cluster_label
Zone_DH009,1,UF_Cluster_1
Zone_DH010,1,UF_Cluster_1
Zone_DH011,1,UF_Cluster_1
Zone_DH012,1,UF_Cluster_1
Zone_DH013,1,UF_Cluster_1
Zone_DH014,1,UF_Cluster_1
Zone_DH015,1,UF_Cluster_1
Zone_DH016,0,UF_Cluster_0
Zone_DH017,0,UF_Cluster_0
Zone_DH018,0,UF_Cluster_0
Zone_DH019,0,UF_Cluster_0
Zone_DH020,0,UF_Cluster_0
Zone_DH021,0,UF_Cluster_0
Zone_DH022,0,UF_Cluster_0
Zone_DH023,0,UF_Cluster_0
Zone_DH024,0,UF_Cluster_0
Zone_DH025,0,UF_Cluster_0
Zone_DH026,0,UF_Cluster_0
Zone_DH027,0,UF_Cluster_0
Zone_DH028,0,UF_Cluster_0
Zone_DH029,0,UF_Cluster_0
Zone_DH030,0,UF_Cluster_0
Zone_DH031,0,UF_Cluster_0
Zone_DH032,0,UF_Cluster_0
Zone_DH033,1,UF_Cluster_1
Zone_DH044,1,UF_Cluster_1
Zone_DH045,1,UF_Cluster_1
Zone_DH046,1,UF_Cluster_1
Zone_DH047,1,UF_Cluster_1
Zone_DH048,1,UF_Cluster_1
Zone_DH049,1,UF_Cluster_1
Zone_DH050,1,UF_Cluster_1
Zone_DH051,0,UF_Cluster_0
Zone_DH052,0,UF_Cluster_0
Zone_DH053,1,UF_Cluster_1
Zone_DH054,0,UF_Cluster_0
Zone_DH055,0,UF_Cluster_0
Zone_DH056,0,UF_Cluster_0
Zone_DH057,0,UF_Cluster_0
Zone_DH058,0,UF_Cluster_0
Zone_DH059,0,UF_Cluster_0
Zone_DH060,0,UF_Cluster_0
Zone_DH061,0,UF_Cluster_0
Zone_DH062,0,UF_Cluster_0
Zone_DH063,0,UF_Cluster_0
Zone_DH064,0,UF_Cluster_0
Zone_DH065,0,UF_Cluster_0
Zone_DH066,0,UF_Cluster_0
Zone_DH067,0,UF_Cluster_0
Zone_DH068,0,UF_Cluster_0
Zone_DH069,0,UF_Cluster_0
Zone_DH072,1,UF_Cluster_1
Zone_DH073,0,UF_Cluster_0
Zone_DH074,1,UF_Cluster_1
Zone_DH075,1,UF_Cluster_1
Zone_DH076,1,UF_Cluster_1
Zone_DH077,1,UF_Cluster_1
Zone_DH078,1,UF_Cluster_1
Zone_DH079,1,UF_Cluster_1
Zone_DH080,1,UF_Cluster_1
Zone_DH081,1,UF_Cluster_1
Zone_DH082,1,UF_Cluster_1
Zone_DH083,1,UF_Cluster_1
Zone_DH084,1,UF_Cluster_1
Zone_DH085,1,UF_Cluster_1
Zone_DH086,0,UF_Cluster_0
Zone_DH087,0,UF_Cluster_0
Zone_DH088,1,UF_Cluster_1
Zone_DH089,0,UF_Cluster_0
Zone_DH090,0,UF_Cluster_0
Zone_DH091,0,UF_Cluster_0
Zone_DH092,0,UF_Cluster_0
Zone_DH093,0,UF_Cluster_0
Zone_DH094,0,UF_Cluster_0
Zone_DH095,0,UF_Cluster_0
Zone_DH096,0,UF_Cluster_0
Zone_DH097,0,UF_Cluster_0
Zone_DH098,0,UF_Cluster_0
Zone_DH099,0,UF_Cluster_0
Zone_DH100,0,UF_Cluster_0
Zone_DH101,0,UF_Cluster_0
Zone_DH102,0,UF_Cluster_0
Zone_DH103,0,UF_Cluster_0
Zone_DH104,0,UF_Cluster_0
Zone_DH106,1,UF_Cluster_1
Zone_DH107,1,UF_Cluster_1
Zone_DH108,1,UF_Cluster_1
Zone_DH109,1,UF_Cluster_1
Zone_DH110,1,UF_Cluster_1
Zone_DH111,1,UF_Cluster_1
Zone_DH112,1,UF_Cluster_1
Zone_DH113,1,UF_Cluster_1
Zone_DH114,1,UF_Cluster_1
Zone_DH115,1,UF_Cluster_1
Zone_DH116,1,UF_Cluster_1
Zone_DH117,1,UF_Cluster_1
Zone_DH118,1,UF_Cluster_1
Zone_DH119,1,UF_Cluster_1
Zone_DH120,1,UF_Cluster_1
Zone_DH121,0,UF_Cluster_0
Zone_DH122,0,UF_Cluster_0
Zone_DH123,0,UF_Cluster_0
Zone_DH124,0,UF_Cluster_0
Zone_DH125,0,UF_Cluster_0
Zone_DH126,0,UF_Cluster_0
Zone_DH127,0,UF_Cluster_0
Zone_DH128,0,UF_Cluster_0
Zone_DH129,0,UF_Cluster_0
Zone_DH130,0,UF_Cluster_0
Zone_DH131,0,UF_Cluster_0
Zone_DH132,0,UF_Cluster_0
Zone_DH133,0,UF_Cluster_0
Zone_DH134,0,UF_Cluster_0
Zone_DH135,0,UF_Cluster_0
Zone_DH136,0,UF_Cluster_0
Zone_DH137,0,UF_Cluster_0
Zone_DH138,0,UF_Cluster_0
Zone_DH139,0,UF_Cluster_0
Zone_DH142,1,UF_Cluster_1
Zone_DH143,1,UF_Cluster_1
Zone_DH144,1,UF_Cluster_1
Zone_DH145,1,UF_Cluster_1
Zone_DH146,1,UF_Cluster_1
Zone_DH147,1,UF_Cluster_1
Zone_DH148,1,UF_Cluster_1
Zone_DH149,1,UF_Cluster_1
Zone_DH150,1,UF_Cluster_1
Zone_DH151,1,UF_Cluster_1
Zone_DH152,1,UF_Cluster_1
Zone_DH153,1,UF_Cluster_1
Zone_DH154,0,UF_Cluster_0
Zone_DH155,0,UF_Cluster_0
Zone_DH156,0,UF_Cluster_0
Zone_DH157,0,UF_Cluster_0
Zone_DH158,0,UF_Cluster_0
Zone_DH159,1,UF_Cluster_1
Zone_DH160,1,UF_Cluster_1
Zone_DH161,0,UF_Cluster_0
Zone_DH162,0,UF_Cluster_0
Zone_DH163,0,UF_Cluster_0
Zone_DH164,0,UF_Cluster_0
Zone_DH165,0,UF_Cluster_0
Zone_DH166,0,UF_Cluster_0
Zone_DH167,0,UF_Cluster_0
Zone_DH168,0,UF_Cluster_0
Zone_DH169,0,UF_Cluster_0
Zone_DH170,0,UF_Cluster_0
Zone_DH171,0,UF_Cluster_0
Zone_DH172,0,UF_Cluster_0
Zone_DH173,0,UF_Cluster_0
Zone_DH174,0,UF_Cluster_0
Zone_DH176,0,UF_Cluster_0
Zone_DH177,1,UF_Cluster_1
Zone_DH178,1,UF_Cluster_1
Zone_DH179,1,UF_Cluster_1
Zone_DH180,1,UF_Cluster_1
Zone_DH181,1,UF_Cluster_1
Zone_DH182,1,UF_Cluster_1
Zone_DH183,1,UF_Cluster_1
Zone_DH184,1,UF_Cluster_1
Zone_DH185,1,UF_Cluster_1
Zone_DH186,1,UF_Cluster_1
Zone_DH187,1,UF_Cluster_1
Zone_DH188,1,UF_Cluster_1
Zone_DH189,0,UF_Cluster_0
Zone_DH190,0,UF_Cluster_0
Zone_DH191,0,UF_Cluster_0
Zone_DH192,0,UF_Cluster_0
Zone_DH193,0,UF_Cluster_0
Zone_DH194,1,UF_Cluster_1
Zone_DH195,1,UF_Cluster_1
Zone_DH196,0,UF_Cluster_0
Zone_DH197,0,UF_Cluster_0
Zone_DH198,0,UF_Cluster_0
Zone_DH199,0,UF_Cluster_0
Zone_DH200,0,UF_Cluster_0
Zone_DH201,0,UF_Cluster_0
Zone_DH202,0,UF_Cluster_0
Zone_DH203,0,UF_Cluster_0
Zone_DH204,0,UF_Cluster_0
Zone_DH205,0,UF_Cluster_0
Zone_DH206,0,UF_Cluster_0
Zone_DH207,0,UF_Cluster_0
Zone_DH208,0,UF_Cluster_0
Zone_DH209,0,UF_Cluster_0
Zone_DH211,0,UF_Cluster_0
Zone_DH212,1,UF_Cluster_1
Zone_DH213,1,UF_Cluster_1
Zone_DH214,1,UF_Cluster_1
Zone_DH215,1,UF_Cluster_1
Zone_DH216,1,UF_Cluster_1
Zone_DH217,1,UF_Cluster_1
Zone_DH218,1,UF_Cluster_1
Zone_DH219,1,UF_Cluster_1
Zone_DH220,1,UF_Cluster_1
Zone_DH221,1,UF_Cluster_1
Zone_DH222,1,UF_Cluster_1
Zone_DH223,1,UF_Cluster_1
Zone_DH224,0,UF_Cluster_0
Zone_DH225,0,UF_Cluster_0
Zone_DH226,0,UF_Cluster_0
Zone_DH227,1,UF_Cluster_1
Zone_DH228,1,UF_Cluster_1
Zone_DH229,1,UF_Cluster_1
