zone_id,b_0,b_1,b_2,b_3,b_4,b_5,b_6,b_7,b_8,b_9,b_10,b_11,b_12,b_13,b_14,b_15,b_16,b_17,b_18,b_19,b_20,b_21,b_22,b_23,b_24,b_25,b_26,b_27,b_28,b_29,b_30,b_31,b_32,b_33,b_34,b_35,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25,a_26,a_27,a_28,a_29,a_30,a_31,a_32,a_33,a_34,a_35,l_0,l_1,l_2,l_3,l_4,l_5,l_6,l_7,l_8,l_9,l_10,l_11,l_12,l_13,l_14,l_15,l_16,l_17,l_18,l_19,l_20,l_21,l_22,l_23,l_24,l_25,l_26,l_27,l_28,l_29,l_30,l_31,l_32,l_33,l_34,l_35,l_36,l_37,l_38,l_39
Zone_DH009,0.0,0.0,0.0,0.0625,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0625,0.3125,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.03125,0.03125,0.0625,0.0625,0.03125,0.09375,0.0625,0.03125,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.03125,0.0625,0.0,0.09375,0.0625,0.0,0.125,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0625,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875
Zone_DH010,0.0,0.0,0.074074,0.037037,0.0,0.074074,0.074074,0.037037,0.074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037,0.0,0.037037,0.037037,0.0,0.0,0.037037,0.037037,0.037037,0.037037,0.037037,0.259259,0.0,0.037037,0.0,0.0,0.0,0.0,0.037037,0.0,0.243243,0.0,0.0,0.0,0.0,0.018018,0.018018,0.0,0.0,0.0,0.036036,0.0,0.0,0.0,0.018018,0.036036,0.036036,0.036036,0.018018,0.108108,0.054054,0.036036,0.0,0.036036,0.036036,0.018018,0.0,0.018018,0.0,0.036036,0.018018,0.0,0.018018,0.054054,0.018018,0.09009,0.037037,0.0,0.074074,0.037037,0.037037,0.0,0.0,0.0,0.0,0.0,0.037037,0.111111,0.0,0.074074,0.074074,0.0,0.037037,0.0,0.0,0.074074,0.0,0.037037,0.037037,0.0,0.0,0.0,0.0,0.037037,0.0,0.0,0.037037,0.037037,0.0,0.0,0.0,0.0,0.037037,0.0,0.0,0.185185
Zone_DH011,0.0,0.0,0.117647,0.0,0.0,0.058824,0.058824,0.0,0.058824,0.0,0.0,0.0,0.058824,0.0,0.058824,0.0,0.117647,0.0,0.058824,0.058824,0.0,0.0,0.058824,0.058824,0.0,0.0,0.0,0.117647,0.0,0.0,0.0,0.0,0.0,0.058824,0.058824,0.0,0.253731,0.0,0.0,0.0,0.0,0.029851,0.0,0.0,0.0,0.0,0.059701,0.0,0.0,0.029851,0.0,0.0,0.0,0.059701,0.0,0.089552,0.029851,0.029851,0.0,0.0,0.089552,0.029851,0.059701,0.059701,0.0,0.0,0.029851,0.0,0.0,0.059701,0.029851,0.059701,0.0,0.0,0.0,0.058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117647,0.0,0.117647,0.0,0.058824,0.058824,0.058824,0.0,0.0,0.0,0.058824,0.0,0.0,0.0,0.0,0.0,0.058824,0.0,0.0,0.0,0.058824,0.0,0.0,0.0,0.0,0.058824,0.058824,0.0,0.235294
Zone_DH012,0.0,0.05,0.1,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.1,0.05,0.15,0.05,0.05,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.263158,0.0,0.0,0.0,0.0,0.026316,0.0,0.0,0.0,0.0,0.026316,0.0,0.026316,0.026316,0.0,0.026316,0.026316,0.105263,0.0,0.052632,0.105263,0.026316,0.0,0.0,0.026316,0.0,0.026316,0.026316,0.0,0.0,0.0,0.0,0.026316,0.078947,0.078947,0.026316,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.25
Zone_DH013,0.029412,0.029412,0.058824,0.058824,0.058824,0.029412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029412,0.029412,0.0,0.029412,0.058824,0.147059,0.058824,0.117647,0.0,0.088235,0.029412,0.029412,0.0,0.0,0.0,0.0,0.029412,0.0,0.0,0.0,0.0,0.058824,0.029412,0.22973,0.0,0.0,0.0,0.013514,0.013514,0.0,0.0,0.0,0.0,0.0,0.027027,0.013514,0.013514,0.027027,0.067568,0.040541,0.054054,0.027027,0.067568,0.054054,0.013514,0.013514,0.0,0.027027,0.0,0.0,0.013514,0.040541,0.0,0.013514,0.013514,0.040541,0.054054,0.067568,0.054054,0.0,0.029412,0.058824,0.0,0.0,0.058824,0.0,0.029412,0.029412,0.0,0.029412,0.0,0.0,0.117647,0.029412,0.058824,0.029412,0.0,0.0,0.029412,0.029412,0.029412,0.0,0.029412,0.058824,0.058824,0.029412,0.0,0.029412,0.029412,0.0,0.058824,0.0,0.0,0.0,0.029412,0.029412,0.0,0.0,0.088235
Zone_DH014,0.027027,0.0,0.054054,0.054054,0.108108,0.0,0.0,0.027027,0.0,0.0,0.0,0.0,0.0,0.027027,0.054054,0.0,0.0,0.081081,0.081081,0.027027,0.081081,0.054054,0.108108,0.0,0.054054,0.0,0.0,0.0,0.027027,0.027027,0.0,0.0,0.0,0.0,0.054054,0.054054,0.245033,0.0,0.0,0.0,0.013245,0.0,0.0,0.0,0.0,0.0,0.0,0.039735,0.0,0.013245,0.039735,0.066225,0.066225,0.039735,0.039735,0.039735,0.013245,0.02649,0.02649,0.02649,0.013245,0.013245,0.0,0.0,0.02649,0.013245,0.013245,0.02649,0.05298,0.039735,0.02649,0.07947,0.0,0.054054,0.054054,0.0,0.027027,0.108108,0.027027,0.108108,0.0,0.0,0.027027,0.0,0.0,0.081081,0.0,0.054054,0.027027,0.0,0.027027,0.027027,0.027027,0.027027,0.0,0.027027,0.027027,0.054054,0.027027,0.0,0.0,0.0,0.0,0.027027,0.0,0.0,0.0,0.027027,0.054054,0.0,0.0,0.081081
Zone_DH015,0.034188,0.068376,0.034188,0.068376,0.051282,0.017094,0.017094,0.017094,0.0,0.0,0.0,0.017094,0.0,0.034188,0.051282,0.0,0.0,0.034188,0.034188,0.051282,0.068376,0.068376,0.153846,0.051282,0.017094,0.0,0.0,0.0,0.017094,0.008547,0.0,0.017094,0.0,0.017094,0.017094,0.034188,0.235789,0.0,0.0,0.0,0.008421,0.002105,0.0,0.006316,0.008421,0.0,0.0,0.016842,0.006316,0.008421,0.008421,0.096842,0.046316,0.067368,0.067368,0.033684,0.029474,0.037895,0.008421,0.031579,0.016842,0.004211,0.008421,0.002105,0.029474,0.016842,0.016842,0.029474,0.042105,0.008421,0.042105,0.063158,0.042735,0.042735,0.051282,0.017094,0.034188,0.051282,0.051282,0.068376,0.025641,0.051282,0.0,0.068376,0.017094,0.017094,0.017094,0.034188,0.051282,0.017094,0.068376,0.034188,0.017094,0.017094,0.0,0.0,0.034188,0.068376,0.0,0.017094,0.0,0.0,0.0,0.0,0.017094,0.0,0.0,0.0,0.017094,0.0,0.017094,0.034188
Zone_DH016,0.025806,0.103226,0.077419,0.077419,0.03871,0.012903,0.03871,0.012903,0.0,0.0,0.0,0.025806,0.0,0.012903,0.025806,0.0,0.012903,0.012903,0.025806,0.051613,0.070968,0.103226,0.109677,0.045161,0.012903,0.0,0.012903,0.0,0.0,0.019355,0.012903,0.025806,0.0,0.012903,0.006452,0.012903,0.22973,0.0,0.0,0.0,0.0,0.001689,0.0,0.011824,0.010135,0.0,0.0,0.006757,0.008446,0.013514,0.013514,0.0625,0.060811,0.081081,0.060811,0.052365,0.033784,0.010135,0.013514,0.028716,0.015203,0.02027,0.006757,0.032095,0.018581,0.02027,0.006757,0.025338,0.013514,0.02027,0.040541,0.081081,0.096774,0.019355,0.045161,0.025806,0.012903,0.045161,0.070968,0.03871,0.058065,0.045161,0.0,0.083871,0.025806,0.0,0.03871,0.012903,0.051613,0.03871,0.070968,0.025806,0.025806,0.025806,0.012903,0.012903,0.025806,0.025806,0.0,0.012903,0.0,0.0,0.0,0.0,0.012903,0.0,0.0,0.0,0.0,0.0,0.012903,0.025806
Zone_DH017,0.018182,0.109091,0.054545,0.045455,0.0,0.0,0.036364,0.009091,0.0,0.0,0.009091,0.009091,0.027273,0.018182,0.0,0.018182,0.018182,0.045455,0.009091,0.027273,0.068182,0.118182,0.05,0.018182,0.0,0.009091,0.009091,0.036364,0.009091,0.013636,0.018182,0.009091,0.036364,0.036364,0.059091,0.054545,0.227325,0.0,0.0,0.0,0.0,0.001148,0.013777,0.008037,0.011481,0.009185,0.009185,0.013777,0.026406,0.013777,0.013777,0.02411,0.036739,0.059701,0.045924,0.053961,0.027555,0.016073,0.009185,0.033295,0.014925,0.036739,0.004592,0.030999,0.021814,0.027555,0.004592,0.019518,0.009185,0.036739,0.032147,0.106774,0.077273,0.031818,0.077273,0.045455,0.045455,0.022727,0.086364,0.045455,0.05,0.059091,0.045455,0.040909,0.063636,0.009091,0.045455,0.018182,0.013636,0.018182,0.05,0.009091,0.018182,0.027273,0.018182,0.009091,0.036364,0.004545,0.0,0.0,0.0,0.0,0.009091,0.0,0.004545,0.0,0.0,0.0,0.0,0.0,0.0,0.018182
Zone_DH018,0.041667,0.05,0.058333,0.05,0.016667,0.016667,0.025,0.016667,0.0,0.0,0.008333,0.008333,0.033333,0.016667,0.0,0.025,0.016667,0.095833,0.0125,0.025,0.05,0.066667,0.05,0.020833,0.0,0.008333,0.0,0.033333,0.008333,0.0,0.016667,0.016667,0.05,0.05,0.0625,0.05,0.231009,0.004162,0.0,0.0,0.006243,0.0,0.016649,0.008325,0.008325,0.008325,0.014568,0.016649,0.022893,0.016649,0.020812,0.031217,0.031217,0.060354,0.043704,0.039542,0.027055,0.029136,0.004162,0.024974,0.015609,0.027055,0.008325,0.024974,0.012487,0.024974,0.004162,0.031217,0.01769,0.026015,0.03538,0.106139,0.025,0.025,0.079167,0.058333,0.058333,0.041667,0.095833,0.041667,0.016667,0.054167,0.05,0.029167,0.070833,0.0125,0.0375,0.016667,0.0125,0.016667,0.041667,0.029167,0.008333,0.016667,0.016667,0.008333,0.033333,0.020833,0.0,0.0,0.0,0.0,0.008333,0.008333,0.008333,0.016667,0.008333,0.0,0.0,0.0,0.0,0.033333
